movie_id,primary_title,genres,individual_genre,runtime_minutes,title,studio,domestic_gross,foreign_gross,year,averagerating,numvotes,director_id,director_name,total_gross
tt3747268,Elena,"Comedy,Romance",Comedy,,Elena,Zeit.,233000.0,0.0,2012,3.1,91,nm0510905,Jing-Jie Lin,233000.0
tt3747268,Elena,"Comedy,Romance",Romance,,Elena,Zeit.,233000.0,0.0,2012,3.1,91,nm0510905,Jing-Jie Lin,233000.0
tt1857913,The Sorcerer and the White Snake,"Action,Fantasy,Romance",Action,100.0,The Sorcerer and the White Snake,Magn.,18800.0,2100000.0,2013,5.9,7691,nm0155642,Siu-Tung Ching,2118800.0
tt1857913,The Sorcerer and the White Snake,"Action,Fantasy,Romance",Fantasy,100.0,The Sorcerer and the White Snake,Magn.,18800.0,2100000.0,2013,5.9,7691,nm0155642,Siu-Tung Ching,2118800.0
tt1857913,The Sorcerer and the White Snake,"Action,Fantasy,Romance",Romance,100.0,The Sorcerer and the White Snake,Magn.,18800.0,2100000.0,2013,5.9,7691,nm0155642,Siu-Tung Ching,2118800.0
tt1859446,Alps,Drama,Drama,93.0,Alps,KL,16100.0,0.0,2012,6.4,8505,nm0487166,Yorgos Lanthimos,16100.0
tt1859650,To Rome with Love,"Comedy,Music,Romance",Comedy,112.0,To Rome with Love,SPC,16700000.0,56600000.0,2012,6.3,79381,nm0000095,Woody Allen,73300000.0
tt1859650,To Rome with Love,"Comedy,Music,Romance",Music,112.0,To Rome with Love,SPC,16700000.0,56600000.0,2012,6.3,79381,nm0000095,Woody Allen,73300000.0
tt1859650,To Rome with Love,"Comedy,Music,Romance",Romance,112.0,To Rome with Love,SPC,16700000.0,56600000.0,2012,6.3,79381,nm0000095,Woody Allen,73300000.0
tt1860152,17 Girls,Drama,Drama,86.0,17 Girls,Strand,15100.0,186000.0,2012,6.0,2980,nm0183419,Delphine Coulin,201100.0
tt1860152,17 Girls,Drama,Drama,86.0,17 Girls,Strand,15100.0,186000.0,2012,6.0,2980,nm0183421,Muriel Coulin,201100.0
tt1860213,Dirty Grandpa,Comedy,Comedy,102.0,Dirty Grandpa,LGF,35600000.0,58500000.0,2016,5.9,101393,nm0563243,Dan Mazer,94100000.0
tt1860353,Turbo,"Adventure,Animation,Comedy",Adventure,96.0,Turbo,Fox,83000000.0,199500000.0,2013,6.4,74639,nm1659741,David Soren,282500000.0
tt1860353,Turbo,"Adventure,Animation,Comedy",Animation,96.0,Turbo,Fox,83000000.0,199500000.0,2013,6.4,74639,nm1659741,David Soren,282500000.0
tt1860353,Turbo,"Adventure,Animation,Comedy",Comedy,96.0,Turbo,Fox,83000000.0,199500000.0,2013,6.4,74639,nm1659741,David Soren,282500000.0
tt1860357,Deepwater Horizon,"Action,Drama,History",Action,107.0,Deepwater Horizon,LG/S,61400000.0,60400000.0,2016,7.1,133303,nm0000916,Peter Berg,121800000.0
tt1860357,Deepwater Horizon,"Action,Drama,History",Drama,107.0,Deepwater Horizon,LG/S,61400000.0,60400000.0,2016,7.1,133303,nm0000916,Peter Berg,121800000.0
tt1860357,Deepwater Horizon,"Action,Drama,History",History,107.0,Deepwater Horizon,LG/S,61400000.0,60400000.0,2016,7.1,133303,nm0000916,Peter Berg,121800000.0
tt1862079,Safety Not Guaranteed,"Comedy,Drama,Romance",Comedy,86.0,Safety Not Guaranteed,FD,4000000.0,0.0,2012,7.0,111907,nm1119880,Colin Trevorrow,4000000.0
tt1862079,Safety Not Guaranteed,"Comedy,Drama,Romance",Drama,86.0,Safety Not Guaranteed,FD,4000000.0,0.0,2012,7.0,111907,nm1119880,Colin Trevorrow,4000000.0
tt1862079,Safety Not Guaranteed,"Comedy,Drama,Romance",Romance,86.0,Safety Not Guaranteed,FD,4000000.0,0.0,2012,7.0,111907,nm1119880,Colin Trevorrow,4000000.0
tt1865505,Song of the Sea,"Adventure,Animation,Drama",Adventure,93.0,Song of the Sea,GK,858000.0,0.0,2014,8.1,43966,nm1119079,Tomm Moore,858000.0
tt1865505,Song of the Sea,"Adventure,Animation,Drama",Animation,93.0,Song of the Sea,GK,858000.0,0.0,2014,8.1,43966,nm1119079,Tomm Moore,858000.0
tt1865505,Song of the Sea,"Adventure,Animation,Drama",Drama,93.0,Song of the Sea,GK,858000.0,0.0,2014,8.1,43966,nm1119079,Tomm Moore,858000.0
tt1866249,The Sessions,"Biography,Comedy,Drama",Biography,95.0,The Sessions,FoxS,6000000.0,3100000.0,2012,7.2,39731,nm0506802,Ben Lewin,9100000.0
tt1866249,The Sessions,"Biography,Comedy,Drama",Comedy,95.0,The Sessions,FoxS,6000000.0,3100000.0,2012,7.2,39731,nm0506802,Ben Lewin,9100000.0
tt1866249,The Sessions,"Biography,Comedy,Drama",Drama,95.0,The Sessions,FoxS,6000000.0,3100000.0,2012,7.2,39731,nm0506802,Ben Lewin,9100000.0
tt1869716,The East,"Adventure,Drama,Thriller",Adventure,116.0,The East,FoxS,2300000.0,99700.0,2013,6.8,46804,nm2610231,Zal Batmanglij,2399700.0
tt1869716,The East,"Adventure,Drama,Thriller",Drama,116.0,The East,FoxS,2300000.0,99700.0,2013,6.8,46804,nm2610231,Zal Batmanglij,2399700.0
tt1869716,The East,"Adventure,Drama,Thriller",Thriller,116.0,The East,FoxS,2300000.0,99700.0,2013,6.8,46804,nm2610231,Zal Batmanglij,2399700.0
tt1870529,Won't Back Down,Drama,Drama,121.0,Won't Back Down,Fox,5300000.0,0.0,2012,6.4,5915,nm1400426,Daniel Barnz,5300000.0
tt3779570,Won't Back Down,Sport,Sport,114.0,Won't Back Down,Fox,5300000.0,0.0,2012,7.9,77,nm3886417,Clay Porter,5300000.0
tt3779570,Won't Back Down,Sport,Sport,114.0,Won't Back Down,Fox,5300000.0,0.0,2012,7.9,77,nm2906049,John Lawlor,5300000.0
tt1872102,Marius,Drama,Drama,93.0,Marius,KL,9800.0,2200000.0,2014,6.8,918,nm0000809,Daniel Auteuil,2209800.0
tt1872181,The Amazing Spider-Man 2,"Action,Adventure,Sci-Fi",Action,142.0,The Amazing Spider-Man 2,Sony,202900000.0,506100000.0,2014,6.6,388363,nm1989536,Marc Webb,709000000.0
tt1872181,The Amazing Spider-Man 2,"Action,Adventure,Sci-Fi",Adventure,142.0,The Amazing Spider-Man 2,Sony,202900000.0,506100000.0,2014,6.6,388363,nm1989536,Marc Webb,709000000.0
